Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Jimmy Butler,2019-12-01,Miami Heat,Brooklyn Nets,0,35.15,5.0,17.0,0.294,1.0,5.0,0.2,9.0,10.0,0.9,3.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,20.0,5.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Bam Adebayo,2019-12-01,Miami Heat,Brooklyn Nets,0,33.27,6.0,14.0,0.429,0.0,0.0,,5.0,7.0,0.7140000000000001,6.0,10.0,16.0,1.0,1.0,1.0,4.0,3.0,17.0,2.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Duncan Robinson,2019-12-01,Miami Heat,Brooklyn Nets,0,33.07,3.0,6.0,0.5,3.0,6.0,0.5,1.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,10.0,14.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Kendrick Nunn,2019-12-01,Miami Heat,Brooklyn Nets,0,24.54,5.0,15.0,0.33299999999999996,1.0,7.0,0.14300000000000002,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,11.0,-4.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Meyers Leonard,2019-12-01,Miami Heat,Brooklyn Nets,0,18.51,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,,1.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,9.0,-2.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Goran Dragić,2019-12-01,Miami Heat,Brooklyn Nets,0,30.45,9.0,18.0,0.5,3.0,6.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,6.0,0.0,0.0,1.0,3.0,24.0,0.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Justise Winslow,2019-12-01,Miami Heat,Brooklyn Nets,0,29.39,3.0,12.0,0.25,1.0,6.0,0.16699999999999998,3.0,4.0,0.75,2.0,3.0,5.0,3.0,0.0,0.0,1.0,2.0,10.0,8.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Tyler Herro,2019-12-01,Miami Heat,Brooklyn Nets,0,20.53,2.0,6.0,0.33299999999999996,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-2.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Chris Silva,2019-12-01,Miami Heat,Brooklyn Nets,0,6.58,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Kelly Olynyk,2019-12-01,Miami Heat,Brooklyn Nets,0,6.01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Derrick Jones,2019-12-01,Miami Heat,Brooklyn Nets,0,0.1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
James Johnson,2019-12-01,Miami Heat,Brooklyn Nets,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/201912010BRK.html
Udonis Haslem,2019-12-01,Miami Heat,Brooklyn Nets,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/201912010BRK.html
Spencer Dinwiddie,2019-12-01,Brooklyn Nets,Miami Heat,1,34.11,10.0,21.0,0.47600000000000003,4.0,9.0,0.444,5.0,5.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,3.0,29.0,4.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Garrett Temple,2019-12-01,Brooklyn Nets,Miami Heat,1,34.1,3.0,12.0,0.25,1.0,8.0,0.125,0.0,0.0,,1.0,5.0,6.0,5.0,0.0,0.0,1.0,2.0,7.0,-19.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Taurean Prince,2019-12-01,Brooklyn Nets,Miami Heat,1,31.34,3.0,14.0,0.214,2.0,9.0,0.222,1.0,2.0,0.5,2.0,5.0,7.0,5.0,1.0,3.0,3.0,3.0,9.0,-1.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Joe Harris,2019-12-01,Brooklyn Nets,Miami Heat,1,31.06,9.0,16.0,0.563,5.0,9.0,0.556,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,25.0,0.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Jarrett Allen,2019-12-01,Brooklyn Nets,Miami Heat,1,24.22,1.0,3.0,0.33299999999999996,0.0,0.0,,2.0,2.0,1.0,3.0,9.0,12.0,2.0,0.0,0.0,0.0,5.0,4.0,-1.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
DeAndre Jordan,2019-12-01,Brooklyn Nets,Miami Heat,1,23.38,7.0,8.0,0.875,0.0,0.0,,1.0,3.0,0.33299999999999996,2.0,6.0,8.0,2.0,1.0,0.0,1.0,2.0,15.0,-2.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
David Nwaba,2019-12-01,Brooklyn Nets,Miami Heat,1,18.15,4.0,7.0,0.5710000000000001,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Iman Shumpert,2019-12-01,Brooklyn Nets,Miami Heat,1,16.54,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,-3.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
Theo Pinson,2019-12-01,Brooklyn Nets,Miami Heat,1,13.49,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,-7.0,https://www.basketball-reference.com/boxscores/201912010BRK.html
