Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Ray Allen,2009-12-01,Boston Celtics,Charlotte Bobcats,0,35.48,6.0,9.0,0.667,5.0,6.0,0.833,10.0,10.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,27.0,20.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Paul Pierce,2009-12-01,Boston Celtics,Charlotte Bobcats,0,33.34,3.0,8.0,0.375,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,8.0,19.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Rajon Rondo,2009-12-01,Boston Celtics,Charlotte Bobcats,0,31.33,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,9.0,1.0,0.0,5.0,4.0,8.0,19.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Kendrick Perkins,2009-12-01,Boston Celtics,Charlotte Bobcats,0,29.38,9.0,10.0,0.9,0.0,0.0,,3.0,3.0,1.0,3.0,9.0,12.0,0.0,0.0,3.0,3.0,3.0,21.0,19.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Kevin Garnett,2009-12-01,Boston Celtics,Charlotte Bobcats,0,26.06,5.0,8.0,0.625,0.0,0.0,,6.0,6.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,3.0,5.0,16.0,18.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Marquis Daniels,2009-12-01,Boston Celtics,Charlotte Bobcats,0,21.31,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,4.0,-4.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Shelden Williams,2009-12-01,Boston Celtics,Charlotte Bobcats,0,21.05,1.0,4.0,0.25,0.0,0.0,,3.0,6.0,0.5,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0,-3.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Eddie House,2009-12-01,Boston Celtics,Charlotte Bobcats,0,17.15,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,12.0,2.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Rasheed Wallace,2009-12-01,Boston Celtics,Charlotte Bobcats,0,16.17,2.0,7.0,0.28600000000000003,1.0,3.0,0.33299999999999996,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,7.0,-1.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Brian Scalabrine,2009-12-01,Boston Celtics,Charlotte Bobcats,0,3.02,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Lester Hudson,2009-12-01,Boston Celtics,Charlotte Bobcats,0,2.05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
J.R. Giddens,2009-12-01,Boston Celtics,Charlotte Bobcats,0,2.05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Raymond Felton,2009-12-01,Charlotte Bobcats,Boston Celtics,1,31.28,6.0,13.0,0.462,0.0,0.0,,2.0,2.0,1.0,3.0,0.0,3.0,5.0,2.0,0.0,1.0,3.0,14.0,-21.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Stephen Jackson,2009-12-01,Charlotte Bobcats,Boston Celtics,1,29.1,4.0,13.0,0.308,0.0,1.0,0.0,3.0,4.0,0.75,3.0,2.0,5.0,2.0,0.0,1.0,1.0,2.0,11.0,-21.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Gerald Wallace,2009-12-01,Charlotte Bobcats,Boston Celtics,1,27.35,1.0,6.0,0.16699999999999998,0.0,0.0,,3.0,4.0,0.75,1.0,7.0,8.0,2.0,0.0,1.0,2.0,2.0,5.0,-3.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Tyson Chandler,2009-12-01,Charlotte Bobcats,Boston Celtics,1,26.54,1.0,1.0,1.0,0.0,0.0,,3.0,4.0,0.75,2.0,3.0,5.0,0.0,1.0,2.0,0.0,3.0,5.0,-14.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Boris Diaw,2009-12-01,Charlotte Bobcats,Boston Celtics,1,24.39,5.0,10.0,0.5,2.0,3.0,0.667,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,13.0,-18.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Ronald Murray,2009-12-01,Charlotte Bobcats,Boston Celtics,1,24.06,2.0,12.0,0.16699999999999998,0.0,5.0,0.0,2.0,3.0,0.667,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,-14.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Stephen Graham,2009-12-01,Charlotte Bobcats,Boston Celtics,1,22.06,4.0,5.0,0.8,0.0,1.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,0.0,2.0,1.0,4.0,12.0,-5.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Nazr Mohammed,2009-12-01,Charlotte Bobcats,Boston Celtics,1,19.01,6.0,10.0,0.6,0.0,0.0,,4.0,8.0,0.5,3.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,16.0,-4.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
D.J. Augustin,2009-12-01,Charlotte Bobcats,Boston Celtics,1,15.18,1.0,3.0,0.33299999999999996,0.0,1.0,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Gerald Henderson,2009-12-01,Charlotte Bobcats,Boston Celtics,1,12.37,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,13.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
Derrick Brown,2009-12-01,Charlotte Bobcats,Boston Celtics,1,7.06,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,https://www.basketball-reference.com/boxscores/200912010CHA.html
DeSagana Diop,2009-12-01,Charlotte Bobcats,Boston Celtics,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200912010CHA.html
Antawn Jamison,2009-12-01,Washington Wizards,Toronto Raptors,0,43.04,12.0,22.0,0.545,2.0,6.0,0.33299999999999996,4.0,8.0,0.5,0.0,12.0,12.0,2.0,1.0,1.0,2.0,3.0,30.0,15.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Gilbert Arenas,2009-12-01,Washington Wizards,Toronto Raptors,0,38.36,7.0,17.0,0.41200000000000003,3.0,7.0,0.429,5.0,5.0,1.0,0.0,4.0,4.0,9.0,1.0,1.0,1.0,2.0,22.0,15.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Caron Butler,2009-12-01,Washington Wizards,Toronto Raptors,0,38.17,6.0,12.0,0.5,1.0,2.0,0.5,6.0,6.0,1.0,0.0,7.0,7.0,1.0,3.0,1.0,3.0,3.0,19.0,-10.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Brendan Haywood,2009-12-01,Washington Wizards,Toronto Raptors,0,35.26,7.0,10.0,0.7,0.0,0.0,,1.0,8.0,0.125,7.0,2.0,9.0,0.0,2.0,3.0,1.0,3.0,15.0,17.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Nick Young,2009-12-01,Washington Wizards,Toronto Raptors,0,30.04,3.0,9.0,0.33299999999999996,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,6.0,5.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Earl Boykins,2009-12-01,Washington Wizards,Toronto Raptors,0,21.28,3.0,8.0,0.375,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,1.0,8.0,0.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Andray Blatche,2009-12-01,Washington Wizards,Toronto Raptors,0,10.46,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,4.0,-18.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Dominic McGuire,2009-12-01,Washington Wizards,Toronto Raptors,0,9.43,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,14.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
JaVale McGee,2009-12-01,Washington Wizards,Toronto Raptors,0,6.4,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Randy Foye,2009-12-01,Washington Wizards,Toronto Raptors,0,5.56,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-10.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
DeShawn Stevenson,2009-12-01,Washington Wizards,Toronto Raptors,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200912010TOR.html
Fabricio Oberto,2009-12-01,Washington Wizards,Toronto Raptors,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200912010TOR.html
Chris Bosh,2009-12-01,Toronto Raptors,Washington Wizards,1,40.01,7.0,22.0,0.318,0.0,0.0,,8.0,9.0,0.889,3.0,11.0,14.0,2.0,0.0,0.0,3.0,5.0,22.0,0.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Hedo Türkoğlu,2009-12-01,Toronto Raptors,Washington Wizards,1,38.39,3.0,11.0,0.273,2.0,8.0,0.25,5.0,6.0,0.833,1.0,8.0,9.0,6.0,0.0,1.0,4.0,5.0,13.0,14.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
José Calderón,2009-12-01,Toronto Raptors,Washington Wizards,1,36.57,9.0,12.0,0.75,1.0,1.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,5.0,0.0,0.0,0.0,3.0,20.0,-15.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Andrea Bargnani,2009-12-01,Toronto Raptors,Washington Wizards,1,35.16,8.0,14.0,0.5710000000000001,2.0,4.0,0.5,2.0,2.0,1.0,4.0,7.0,11.0,1.0,0.0,1.0,2.0,5.0,20.0,-10.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
DeMar DeRozan,2009-12-01,Toronto Raptors,Washington Wizards,1,15.48,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,-4.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Jarrett Jack,2009-12-01,Toronto Raptors,Washington Wizards,1,27.08,6.0,11.0,0.545,2.0,4.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,18.0,1.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Amir Johnson,2009-12-01,Toronto Raptors,Washington Wizards,1,20.39,0.0,2.0,0.0,0.0,0.0,,2.0,4.0,0.5,4.0,3.0,7.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Marco Belinelli,2009-12-01,Toronto Raptors,Washington Wizards,1,18.57,2.0,7.0,0.28600000000000003,1.0,3.0,0.33299999999999996,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,5.0,3.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Antoine Wright,2009-12-01,Toronto Raptors,Washington Wizards,1,6.31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-11.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Sonny Weems,2009-12-01,Toronto Raptors,Washington Wizards,1,0.04,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,https://www.basketball-reference.com/boxscores/200912010TOR.html
Rasho Nesterović,2009-12-01,Toronto Raptors,Washington Wizards,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200912010TOR.html
Pops Mensah-Bonsu,2009-12-01,Toronto Raptors,Washington Wizards,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200912010TOR.html
Steve Nash,2009-12-01,Phoenix Suns,New York Knicks,0,31.06,8.0,16.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,0.0,3.0,3.0,8.0,0.0,1.0,4.0,1.0,20.0,-24.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Grant Hill,2009-12-01,Phoenix Suns,New York Knicks,0,29.04,3.0,7.0,0.429,0.0,0.0,,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,8.0,-23.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Jason Richardson,2009-12-01,Phoenix Suns,New York Knicks,0,27.1,5.0,10.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,14.0,-30.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Amar'e Stoudemire,2009-12-01,Phoenix Suns,New York Knicks,0,26.58,4.0,7.0,0.5710000000000001,0.0,0.0,,6.0,6.0,1.0,0.0,5.0,5.0,2.0,0.0,1.0,5.0,3.0,14.0,-19.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Channing Frye,2009-12-01,Phoenix Suns,New York Knicks,0,26.16,2.0,6.0,0.33299999999999996,1.0,2.0,0.5,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,5.0,-14.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Goran Dragić,2009-12-01,Phoenix Suns,New York Knicks,0,23.37,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,0.0,-3.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Earl Clark,2009-12-01,Phoenix Suns,New York Knicks,0,18.48,3.0,7.0,0.429,0.0,0.0,,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,-6.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Jared Dudley,2009-12-01,Phoenix Suns,New York Knicks,0,17.51,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,2.0,7.0,-8.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
Lou Amundson,2009-12-01,Phoenix Suns,New York Knicks,0,15.1,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,-2.0,https://www.basketball-reference.com/boxscores/200912010NYK.html
