Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Terrance Roberson,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010PHI.html
Tim James,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010PHI.html
Theo Ratliff,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,41.45,2.0,5.0,0.4,0.0,0.0,,2.0,2.0,1.0,2.0,6.0,8.0,4.0,1.0,6.0,4.0,0.0,6.0,22.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Allen Iverson,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,38.25,11.0,22.0,0.5,3.0,4.0,0.75,12.0,14.0,0.857,3.0,7.0,10.0,4.0,3.0,0.0,3.0,2.0,37.0,28.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Eric Snow,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,35.5,0.0,5.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,4.0,4.0,9.0,1.0,1.0,1.0,5.0,2.0,12.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Tyrone Hill,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,25.26,5.0,9.0,0.556,0.0,0.0,,3.0,4.0,0.75,4.0,3.0,7.0,0.0,0.0,0.0,3.0,4.0,13.0,-1.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
George Lynch,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,12.13,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,-3.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Aaron McKie,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,29.23,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,,1.0,6.0,7.0,3.0,2.0,0.0,1.0,1.0,7.0,26.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Matt Geiger,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,22.04,5.0,10.0,0.5,0.0,0.0,,5.0,5.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,15.0,19.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Toni Kukoč,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,13.09,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,5.0,0.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Jumaine Jones,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,10.31,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Vernon Maxwell,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,6.55,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Todd MacCulloch,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,4.19,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Nazr Mohammed,2000-12-01,Philadelphia 76ers,Charlotte Hornets,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010PHI.html
Lamar Odom,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,45.26,7.0,16.0,0.43799999999999994,2.0,5.0,0.4,1.0,7.0,0.14300000000000002,4.0,5.0,9.0,5.0,0.0,6.0,4.0,4.0,17.0,-10.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Jeff McInnis,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,38.24,3.0,13.0,0.231,1.0,3.0,0.33299999999999996,1.0,2.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,2.0,6.0,8.0,-10.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Quentin Richardson,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,33.19,8.0,16.0,0.5,1.0,3.0,0.33299999999999996,3.0,7.0,0.429,4.0,1.0,5.0,2.0,0.0,0.0,4.0,5.0,20.0,-2.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Michael Olowokandi,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,24.0,2.0,9.0,0.222,0.0,0.0,,3.0,3.0,1.0,3.0,5.0,8.0,1.0,0.0,2.0,1.0,3.0,7.0,2.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Derek Strong,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,23.0,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Sean Rooks,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,30.0,2.0,7.0,0.28600000000000003,0.0,0.0,,2.0,3.0,0.667,1.0,7.0,8.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Brian Skinner,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,25.37,5.0,7.0,0.7140000000000001,0.0,0.0,,3.0,6.0,0.5,4.0,5.0,9.0,1.0,0.0,1.0,2.0,2.0,13.0,-7.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Eric Piatkowski,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,23.1,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,-10.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Darius Miles,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,12.01,3.0,3.0,1.0,0.0,0.0,,0.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Keyon Dooling,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,10.03,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,https://www.basketball-reference.com/boxscores/200012010TOR.html
Cherokee Parks,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010TOR.html
Corey Maggette,2000-12-01,Toronto Raptors,Los Angeles Clippers,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010TOR.html
Kevin Garnett,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,41.39,8.0,20.0,0.4,1.0,2.0,0.5,4.0,6.0,0.667,6.0,7.0,13.0,2.0,1.0,3.0,2.0,2.0,21.0,10.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Wally Szczerbiak,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,38.47,8.0,13.0,0.615,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,18.0,7.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Terrell Brandon,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,38.21,2.0,10.0,0.2,0.0,0.0,,9.0,10.0,0.9,0.0,1.0,1.0,9.0,0.0,0.0,1.0,2.0,13.0,7.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Chauncey Billups,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,38.02,9.0,14.0,0.643,2.0,4.0,0.5,9.0,10.0,0.9,0.0,1.0,1.0,3.0,2.0,0.0,2.0,3.0,29.0,7.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
LaPhonso Ellis,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,31.37,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,1.0,2.0,8.0,10.0,1.0,0.0,2.0,3.0,4.0,8.0,6.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Anthony Peeler,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,16.09,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-12.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Dean Garrett,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,12.35,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,-3.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Todd Day,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,9.26,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Rasho Nesterović,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,8.14,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,-3.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Sam Mitchell,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,3.15,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-4.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Tom Hammonds,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
William Avery,2000-12-01,Minnesota Timberwolves,Boston Celtics,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010BOS.html
Antoine Walker,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,44.04,8.0,24.0,0.33299999999999996,0.0,2.0,0.0,3.0,3.0,1.0,4.0,7.0,11.0,5.0,1.0,0.0,2.0,1.0,19.0,-3.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Tony Battie,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,40.17,8.0,12.0,0.667,0.0,0.0,,3.0,4.0,0.75,6.0,6.0,12.0,1.0,0.0,1.0,4.0,3.0,19.0,-6.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Paul Pierce,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,39.08,9.0,21.0,0.429,3.0,7.0,0.429,4.0,6.0,0.667,2.0,8.0,10.0,6.0,0.0,0.0,3.0,3.0,25.0,-11.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Bryant Stith,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,38.21,5.0,9.0,0.556,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,5.0,13.0,-4.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Randy Brown,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,25.2,3.0,4.0,0.75,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,7.0,4.0,0.0,2.0,5.0,6.0,-5.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Eric Williams,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,18.02,5.0,7.0,0.7140000000000001,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,3.0,12.0,6.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Doug Overton,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,14.11,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Vitaly Potapenko,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,11.39,1.0,3.0,0.33299999999999996,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Chris Herren,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,8.29,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Walter McCarty,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,0.29,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.basketball-reference.com/boxscores/200012010BOS.html
Jérôme Moïso,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010BOS.html
Chris Carr,2000-12-01,Boston Celtics,Minnesota Timberwolves,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010BOS.html
Bryon Russell,2000-12-01,Utah Jazz,Miami Heat,0,40.5,7.0,17.0,0.41200000000000003,2.0,5.0,0.4,2.0,4.0,0.5,3.0,6.0,9.0,2.0,6.0,0.0,2.0,4.0,18.0,10.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Karl Malone,2000-12-01,Utah Jazz,Miami Heat,0,39.5,9.0,17.0,0.529,0.0,0.0,,9.0,9.0,1.0,1.0,7.0,8.0,5.0,1.0,0.0,3.0,4.0,27.0,0.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
John Stockton,2000-12-01,Utah Jazz,Miami Heat,0,35.04,3.0,5.0,0.6,1.0,1.0,1.0,3.0,4.0,0.75,1.0,0.0,1.0,6.0,4.0,0.0,2.0,2.0,10.0,10.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
John Starks,2000-12-01,Utah Jazz,Miami Heat,0,23.28,1.0,8.0,0.125,1.0,3.0,0.33299999999999996,3.0,5.0,0.6,2.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,6.0,-4.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Olden Polynice,2000-12-01,Utah Jazz,Miami Heat,0,12.06,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Donyell Marshall,2000-12-01,Utah Jazz,Miami Heat,0,22.13,2.0,7.0,0.28600000000000003,1.0,2.0,0.5,4.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,9.0,5.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Greg Ostertag,2000-12-01,Utah Jazz,Miami Heat,0,18.04,2.0,2.0,1.0,0.0,0.0,,4.0,4.0,1.0,3.0,2.0,5.0,0.0,0.0,3.0,1.0,3.0,8.0,6.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Danny Manning,2000-12-01,Utah Jazz,Miami Heat,0,13.34,2.0,4.0,0.5,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Jacque Vaughn,2000-12-01,Utah Jazz,Miami Heat,0,12.56,0.0,6.0,0.0,0.0,4.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-8.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
David Benoit,2000-12-01,Utah Jazz,Miami Heat,0,12.26,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,-8.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Quincy Lewis,2000-12-01,Utah Jazz,Miami Heat,0,5.37,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-10.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
DeShawn Stevenson,2000-12-01,Utah Jazz,Miami Heat,0,3.52,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Eddie Jones,2000-12-01,Miami Heat,Utah Jazz,1,41.39,7.0,16.0,0.43799999999999994,1.0,3.0,0.33299999999999996,10.0,11.0,0.909,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,25.0,-5.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Tim Hardaway,2000-12-01,Miami Heat,Utah Jazz,1,37.3,4.0,8.0,0.5,4.0,6.0,0.667,3.0,4.0,0.75,0.0,5.0,5.0,5.0,2.0,0.0,5.0,3.0,15.0,0.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Anthony Mason,2000-12-01,Miami Heat,Utah Jazz,1,37.23,7.0,9.0,0.778,0.0,0.0,,8.0,10.0,0.8,2.0,7.0,9.0,2.0,0.0,1.0,4.0,4.0,22.0,0.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Brian Grant,2000-12-01,Miami Heat,Utah Jazz,1,32.57,6.0,10.0,0.6,0.0,0.0,,5.0,5.0,1.0,1.0,10.0,11.0,2.0,0.0,1.0,3.0,6.0,17.0,11.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Bruce Bowen,2000-12-01,Miami Heat,Utah Jazz,1,30.1,1.0,6.0,0.16699999999999998,1.0,4.0,0.25,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,3.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Cedric Ceballos,2000-12-01,Miami Heat,Utah Jazz,1,23.28,2.0,6.0,0.33299999999999996,0.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,8.0,-13.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Anthony Carter,2000-12-01,Miami Heat,Utah Jazz,1,17.07,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Duane Causwell,2000-12-01,Miami Heat,Utah Jazz,1,11.35,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,-1.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
A.C. Green,2000-12-01,Miami Heat,Utah Jazz,1,8.11,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.0,https://www.basketball-reference.com/boxscores/200012010MIA.html
Don MacLean,2000-12-01,Miami Heat,Utah Jazz,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010MIA.html
Eddie House,2000-12-01,Miami Heat,Utah Jazz,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010MIA.html
Todd Fuller,2000-12-01,Miami Heat,Utah Jazz,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010MIA.html
Stephon Marbury,2000-12-01,New Jersey Nets,Orlando Magic,0,38.11,8.0,19.0,0.42100000000000004,1.0,4.0,0.25,8.0,11.0,0.727,0.0,1.0,1.0,2.0,0.0,0.0,6.0,5.0,25.0,-11.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Kenyon Martin,2000-12-01,New Jersey Nets,Orlando Magic,0,37.49,2.0,6.0,0.33299999999999996,0.0,0.0,,0.0,0.0,,0.0,8.0,8.0,1.0,0.0,1.0,3.0,2.0,4.0,-13.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Stephen Jackson,2000-12-01,New Jersey Nets,Orlando Magic,0,36.11,5.0,14.0,0.35700000000000004,2.0,5.0,0.4,3.0,4.0,0.75,0.0,9.0,9.0,5.0,2.0,1.0,3.0,3.0,15.0,0.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Kendall Gill,2000-12-01,New Jersey Nets,Orlando Magic,0,33.25,2.0,12.0,0.16699999999999998,0.0,0.0,,4.0,6.0,0.667,2.0,7.0,9.0,3.0,1.0,1.0,3.0,4.0,8.0,-16.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Evan Eschmeyer,2000-12-01,New Jersey Nets,Orlando Magic,0,21.21,3.0,9.0,0.33299999999999996,0.0,0.0,,1.0,1.0,1.0,4.0,2.0,6.0,0.0,1.0,0.0,2.0,3.0,7.0,-21.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Aaron Williams,2000-12-01,New Jersey Nets,Orlando Magic,0,30.22,3.0,8.0,0.375,0.0,0.0,,2.0,2.0,1.0,4.0,8.0,12.0,1.0,0.0,4.0,0.0,4.0,8.0,14.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Lucious Harris,2000-12-01,New Jersey Nets,Orlando Magic,0,22.27,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,4.0,14.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Johnny Newman,2000-12-01,New Jersey Nets,Orlando Magic,0,10.25,2.0,6.0,0.33299999999999996,0.0,0.0,,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,10.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Sherman Douglas,2000-12-01,New Jersey Nets,Orlando Magic,0,9.49,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,8.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Soumaila Samake,2000-12-01,New Jersey Nets,Orlando Magic,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010ORL.html
Kevin Ollie,2000-12-01,New Jersey Nets,Orlando Magic,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010ORL.html
Jim McIlvaine,2000-12-01,New Jersey Nets,Orlando Magic,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200012010ORL.html
Tracy McGrady,2000-12-01,Orlando Magic,New Jersey Nets,1,39.53,11.0,24.0,0.45799999999999996,0.0,0.0,,9.0,14.0,0.643,2.0,7.0,9.0,4.0,1.0,3.0,3.0,4.0,31.0,7.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Darrell Armstrong,2000-12-01,Orlando Magic,New Jersey Nets,1,38.23,5.0,11.0,0.455,0.0,4.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,3.0,0.0,4.0,1.0,11.0,10.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
John Amaechi,2000-12-01,Orlando Magic,New Jersey Nets,1,37.36,2.0,14.0,0.14300000000000002,0.0,0.0,,0.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,1.0,2.0,4.0,5.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Bo Outlaw,2000-12-01,Orlando Magic,New Jersey Nets,1,31.19,4.0,5.0,0.8,0.0,0.0,,2.0,2.0,1.0,2.0,6.0,8.0,5.0,3.0,3.0,4.0,3.0,10.0,5.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Michael Doleac,2000-12-01,Orlando Magic,New Jersey Nets,1,30.19,7.0,11.0,0.636,0.0,0.0,,2.0,2.0,1.0,0.0,4.0,4.0,3.0,2.0,3.0,0.0,6.0,16.0,23.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Pat Garrity,2000-12-01,Orlando Magic,New Jersey Nets,1,16.01,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,-11.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
Monty Williams,2000-12-01,Orlando Magic,New Jersey Nets,1,15.06,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,-6.0,https://www.basketball-reference.com/boxscores/200012010ORL.html
