Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Baron Davis,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,42.39,6.0,13.0,0.462,1.0,4.0,0.25,5.0,5.0,1.0,3.0,5.0,8.0,7.0,2.0,0.0,5.0,4.0,18.0,-19.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Jamal Mashburn,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,36.56,7.0,21.0,0.33299999999999996,1.0,3.0,0.33299999999999996,4.0,6.0,0.667,2.0,7.0,9.0,0.0,0.0,0.0,1.0,3.0,19.0,-18.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
David Wesley,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,33.47,5.0,15.0,0.33299999999999996,0.0,2.0,0.0,2.0,4.0,0.5,2.0,1.0,3.0,3.0,1.0,0.0,3.0,5.0,12.0,-14.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
P.J. Brown,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,33.01,0.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,1.0,7.0,0.0,0.0,2.0,0.0,5.0,2.0,-13.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Elden Campbell,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,26.27,3.0,9.0,0.33299999999999996,0.0,0.0,,3.0,4.0,0.75,1.0,3.0,4.0,1.0,0.0,0.0,3.0,4.0,9.0,-6.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Jamaal Magloire,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,21.33,1.0,8.0,0.125,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,-15.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Lee Nailon,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,14.59,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,-8.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Hersey Hawkins,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,11.39,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,-3.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Eddie Robinson,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,11.04,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,-3.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
Eldridge Recasner,2000-12-01,Charlotte Hornets,Philadelphia 76ers,0,7.55,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,https://www.basketball-reference.com/boxscores/200012010PHI.html
