Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Zach Randolph,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,43.18,6.0,16.0,0.375,0.0,1.0,0.0,7.0,8.0,0.875,7.0,12.0,19.0,2.0,0.0,2.0,0.0,4.0,19.0,-3.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Mike Conley,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,38.58,10.0,13.0,0.769,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,9.0,1.0,0.0,4.0,4.0,22.0,-2.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Rudy Gay,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,36.4,9.0,20.0,0.45,2.0,3.0,0.667,3.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,23.0,5.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Marc Gasol,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,31.18,6.0,8.0,0.75,0.0,0.0,,4.0,5.0,0.8,2.0,8.0,10.0,3.0,0.0,1.0,3.0,3.0,16.0,4.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Xavier Henry,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,22.34,1.0,4.0,0.25,0.0,0.0,,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
O.J. Mayo,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,24.23,4.0,8.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,10.0,2.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Tony Allen,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,13.53,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,8.0,-2.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Sam Young,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,9.43,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,-8.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Greivis Vásquez,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,9.08,1.0,3.0,0.33299999999999996,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Hasheem Thabeet,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,8.08,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
DeMarre Carroll,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,1.57,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-4.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Acie Law,2010-12-01,Memphis Grizzlies,Atlanta Hawks,0,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/201012010ATL.html
Marvin Williams,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,40.48,6.0,11.0,0.545,0.0,1.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0,15.0,10.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Al Horford,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,37.55,8.0,14.0,0.5710000000000001,0.0,0.0,,4.0,4.0,1.0,1.0,5.0,6.0,6.0,2.0,1.0,0.0,2.0,20.0,0.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Mike Bibby,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,33.27,5.0,8.0,0.625,4.0,5.0,0.8,1.0,2.0,0.5,1.0,2.0,3.0,6.0,1.0,0.0,0.0,3.0,15.0,2.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Josh Smith,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,22.55,6.0,15.0,0.4,0.0,0.0,,1.0,2.0,0.5,5.0,3.0,8.0,2.0,1.0,2.0,4.0,5.0,13.0,-7.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Maurice Evans,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,21.28,2.0,4.0,0.5,1.0,2.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,9.0,-12.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Jamal Crawford,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,33.44,4.0,12.0,0.33299999999999996,2.0,4.0,0.5,6.0,8.0,0.75,0.0,1.0,1.0,8.0,1.0,0.0,2.0,1.0,16.0,8.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Josh Powell,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,23.11,8.0,9.0,0.889,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,16.0,8.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Jeff Teague,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,14.33,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,8.0,1.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Zaza Pachulia,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,11.59,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,5.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
Jason Collins,2010-12-01,Atlanta Hawks,Memphis Grizzlies,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/201012010ATL.html
