Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Ryan Gomes,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,36.27,6.0,12.0,0.5,4.0,6.0,0.667,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,2.0,3.0,1.0,16.0,-8.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Mike Miller,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,34.44,7.0,13.0,0.5379999999999999,5.0,8.0,0.625,0.0,0.0,,1.0,9.0,10.0,5.0,0.0,1.0,2.0,2.0,19.0,-2.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Randy Foye,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,33.25,7.0,13.0,0.5379999999999999,2.0,4.0,0.5,7.0,8.0,0.875,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,23.0,-6.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Al Jefferson,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,30.4,3.0,11.0,0.273,0.0,0.0,,2.0,2.0,1.0,4.0,5.0,9.0,2.0,0.0,6.0,1.0,3.0,8.0,-8.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Jason Collins,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,13.13,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Kevin Love,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,22.24,3.0,7.0,0.429,0.0,1.0,0.0,4.0,6.0,0.667,2.0,6.0,8.0,1.0,0.0,0.0,0.0,3.0,10.0,-7.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Rashad McCants,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,19.38,2.0,8.0,0.25,0.0,3.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,6.0,-3.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Craig Smith,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,13.17,1.0,3.0,0.33299999999999996,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,-4.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Kevin Ollie,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,12.37,1.0,2.0,0.5,0.0,0.0,,4.0,5.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,-8.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
Brian Cardinal,2008-12-01,Minnesota Timberwolves,Charlotte Bobcats,0,9.1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,https://www.basketball-reference.com/boxscores/200812010CHA.html
