Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Andrew Wiggins,2020-12-22,Golden State Warriors,Brooklyn Nets,0,31.14,4.0,16.0,0.25,2.0,6.0,0.33299999999999996,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,13.0,-28.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Stephen Curry,2020-12-22,Golden State Warriors,Brooklyn Nets,0,30.19,7.0,21.0,0.33299999999999996,2.0,10.0,0.2,4.0,4.0,1.0,3.0,1.0,4.0,10.0,2.0,0.0,3.0,1.0,20.0,-23.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Kelly Oubre,2020-12-22,Golden State Warriors,Brooklyn Nets,0,25.39,3.0,14.0,0.214,0.0,6.0,0.0,0.0,0.0,,4.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,6.0,-28.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
James Wiseman,2020-12-22,Golden State Warriors,Brooklyn Nets,0,24.17,7.0,13.0,0.5379999999999999,1.0,1.0,1.0,4.0,8.0,0.5,1.0,5.0,6.0,0.0,2.0,0.0,1.0,2.0,19.0,-10.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Eric Paschall,2020-12-22,Golden State Warriors,Brooklyn Nets,0,21.33,2.0,6.0,0.33299999999999996,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,-28.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Brad Wanamaker,2020-12-22,Golden State Warriors,Brooklyn Nets,0,21.4,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Jordan Poole,2020-12-22,Golden State Warriors,Brooklyn Nets,0,17.55,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,-3.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Juan Toscano-Anderson,2020-12-22,Golden State Warriors,Brooklyn Nets,0,13.15,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0,4.0,-9.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Marquese Chriss,2020-12-22,Golden State Warriors,Brooklyn Nets,0,12.26,4.0,10.0,0.4,1.0,3.0,0.33299999999999996,0.0,0.0,,3.0,5.0,8.0,1.0,0.0,0.0,0.0,2.0,9.0,-6.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Damion Lee,2020-12-22,Golden State Warriors,Brooklyn Nets,0,12.14,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,1.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
Kent Bazemore,2020-12-22,Golden State Warriors,Brooklyn Nets,0,11.35,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,-3.0,https://www.basketball-reference.com/boxscores/202012220BRK.html
