Player,Date,Team,Against,Home,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameLink
Paul Pierce,2001-12-01,New Jersey Nets,Boston Celtics,1,48.44,13.0,34.0,0.382,5.0,8.0,0.625,17.0,18.0,0.9440000000000001,2.0,10.0,12.0,1.0,3.0,2.0,4.0,2.0,48.0,14.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Antoine Walker,2001-12-01,New Jersey Nets,Boston Celtics,1,40.1,10.0,30.0,0.33299999999999996,2.0,7.0,0.28600000000000003,3.0,6.0,0.5,8.0,9.0,17.0,2.0,2.0,1.0,4.0,6.0,25.0,2.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Kenny Anderson,2001-12-01,New Jersey Nets,Boston Celtics,1,37.19,4.0,6.0,0.667,0.0,0.0,,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,12.0,7.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Tony Battie,2001-12-01,New Jersey Nets,Boston Celtics,1,35.38,1.0,5.0,0.2,0.0,0.0,,2.0,2.0,1.0,3.0,8.0,11.0,3.0,0.0,0.0,1.0,4.0,4.0,8.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Eric Williams,2001-12-01,New Jersey Nets,Boston Celtics,1,33.59,2.0,8.0,0.25,0.0,1.0,0.0,4.0,4.0,1.0,2.0,6.0,8.0,0.0,1.0,0.0,2.0,5.0,8.0,4.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Joe Johnson,2001-12-01,New Jersey Nets,Boston Celtics,1,21.47,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Vitaly Potapenko,2001-12-01,New Jersey Nets,Boston Celtics,1,17.22,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Milt Palacio,2001-12-01,New Jersey Nets,Boston Celtics,1,15.28,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Erick Strickland,2001-12-01,New Jersey Nets,Boston Celtics,1,14.34,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-5.0,https://www.basketball-reference.com/boxscores/200112010NJN.html
Joseph Forte,2001-12-01,New Jersey Nets,Boston Celtics,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200112010NJN.html
Kedrick Brown,2001-12-01,New Jersey Nets,Boston Celtics,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200112010NJN.html
Mark Blount,2001-12-01,New Jersey Nets,Boston Celtics,1,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/boxscores/200112010NJN.html
Vince Carter,2001-12-01,Toronto Raptors,Atlanta Hawks,0,43.56,8.0,18.0,0.444,0.0,1.0,0.0,3.0,3.0,1.0,5.0,5.0,10.0,8.0,1.0,0.0,4.0,5.0,19.0,-2.0,https://www.basketball-reference.com/boxscores/200112010ATL.html
